date,vehicle_number,mileage,failure_category,failure_name,symptoms,cost,repair_duration,daily_load
2021-05-04,BK9057HC,552235,Suspension,Shock Absorber Failure,Bumpy ride,729.38,8,685
2021-05-04,BK4570CK,852181,Engine,Turbo Failure,Whistling noise,2969.67,12,1269
2021-05-04,BK2218ET,402211,Suspension,Ball Joint Failure,Clunking noise,354.65,3,965
2021-05-04,BK2218ET,402211,Engine,Engine Failure,Engine knocking,2681.6,16,965
2021-05-04,BK9057HC,552235,Brakes,Brake Pad Wear,Squeaking noise,292.86,2,685
2021-05-04,BK9057HC,552235,Brakes,Brake Fluid Leak,Soft brake pedal,317.07,4,685
2021-05-04,BK4570CK,852181,Axle,Differential Failure,Grinding noise,1761.15,11,1269
2021-05-04,BK4570CK,852181,Transmission,Clutch Failure,Difficulty shifting,1255.04,3,1269
2021-05-05,BK9057HC,552980,Engine,Oil Leak,Oil spots,503.96,4,986
2021-05-05,BK9057HC,552980,Axle,Differential Failure,Grinding noise,1969.4,13,986
2021-05-05,BK4570CK,852908,Engine,Turbo Failure,Whistling noise,1659.22,11,1032
2021-05-05,BK9057HC,552980,Transmission,Transmission Failure,Slipping gears,4057.65,27,986
2021-05-05,BK9057HC,552980,Transmission,Gearbox Failure,Grinding noise,3816.81,19,986
2021-05-05,BK4570CK,852908,Axle,Spring Breakage,Unusual noises,444.82,5,1032
2021-05-05,BK9057HC,552980,Engine,Engine Failure,Engine knocking,4336.22,16,986
2021-05-06,BK9057HC,553725,Transmission,Gearbox Failure,Grinding noise,3194.48,15,561
2021-05-06,BK9057HC,553725,Engine,Engine Failure,Engine knocking,2486.97,27,561
2021-05-06,BK4570CK,853635,Electrical,Battery Failure,Engine won’t start,216.55,2,938
2021-05-06,BK4570CK,853635,Engine,Radiator Failure,Overheating,1226.68,10,938
2021-05-06,BK4570CK,853635,Engine,Turbo Failure,Whistling noise,1756.96,8,938
2021-05-07,BK2218ET,404422,Engine,Engine Failure,Engine knocking,2513.24,25,1337
2021-05-07,BK9057HC,554470,Axle,Differential Failure,Grinding noise,1237.19,13,1357
2021-05-07,BK2218ET,404422,Axle,Differential Failure,Grinding noise,1446.64,11,1337
2021-05-07,BK4570CK,854362,Engine,Turbo Failure,Whistling noise,1703.23,7,959
2021-05-08,BK2218ET,405159,Brakes,Brake Pad Wear,Squeaking noise,251.72,2,1445
2021-05-08,BK2218ET,405159,Electrical,Alternator Failure,Battery warning light,370.34,2,1445
2021-05-08,BK4570CK,855089,Electrical,Starter Motor Failure,Clicking noise,284.02,1,1069
2021-05-08,BK4570CK,855089,Engine,Oil Leak,Oil spots,1043.0,3,1069
2021-05-08,BK4570CK,855089,Engine,Turbo Failure,Whistling noise,1972.29,9,1069
2021-05-08,BK9057HC,555215,Transmission,Gearbox Failure,Grinding noise,3412.81,13,1493
2021-05-08,BK9057HC,555215,Engine,Radiator Failure,Overheating,1896.01,7,1493
2021-05-09,BK9057HC,555960,Engine,Turbo Failure,Whistling noise,1788.26,11,567
2021-05-09,BK9057HC,555960,Axle,Differential Failure,Grinding noise,1229.37,13,567
2021-05-09,BK9057HC,555960,Electrical,Starter Motor Failure,Clicking noise,178.68,2,567
2021-05-09,BK4570CK,855816,Brakes,Brake Fluid Leak,Soft brake pedal,323.37,4,1411
2021-05-09,BK9057HC,555960,Suspension,Shock Absorber Failure,Bumpy ride,876.59,7,567
2021-05-09,BK2218ET,405896,Brakes,Brake Pad Wear,Squeaking noise,260.85,2,1073
2021-05-09,BK2218ET,405896,Brakes,Brake Fluid Leak,Soft brake pedal,313.63,2,1073
2021-05-09,BK4570CK,855816,Axle,Differential Failure,Grinding noise,1751.65,7,1411
2021-05-10,BK4570CK,856543,Engine,Engine Failure,Engine knocking,3864.96,24,1367
2021-05-10,BK9057HC,556705,Engine,Engine Failure,Engine knocking,2366.41,28,1060
2021-05-10,BK4570CK,856543,Engine,Radiator Failure,Overheating,1155.95,7,1367
2021-05-10,BK9057HC,556705,Brakes,Brake Pad Wear,Squeaking noise,271.34,1,1060
2021-05-10,BK4570CK,856543,Axle,Differential Failure,Grinding noise,1964.87,13,1367
2021-05-10,BK4570CK,856543,Suspension,Ball Joint Failure,Clunking noise,477.66,3,1367
2021-05-10,BK9057HC,556705,Engine,Oil Leak,Oil spots,535.14,4,1060
2021-05-11,BK2218ET,407370,Engine,Turbo Failure,Whistling noise,1511.81,14,1077
2021-05-11,BK4570CK,857270,Brakes,Brake Fluid Leak,Soft brake pedal,431.89,4,527
2021-05-11,BK4570CK,857270,Axle,Spring Breakage,Unusual noises,485.09,2,527
2021-05-11,BK9057HC,557450,Engine,Turbo Failure,Whistling noise,1817.04,14,1420
2021-05-11,BK9057HC,557450,Electrical,Starter Motor Failure,Clicking noise,369.94,1,1420
2021-05-12,BK2218ET,408107,Electrical,Starter Motor Failure,Clicking noise,178.57,1,1056
2021-05-12,BK4570CK,857997,Engine,Engine Failure,Engine knocking,4567.24,17,523
2021-05-12,BK9057HC,558195,Electrical,Starter Motor Failure,Clicking noise,201.83,1,1476
2021-05-12,BK9057HC,558195,Brakes,Brake Fluid Leak,Soft brake pedal,339.99,5,1476
2021-05-12,BK9057HC,558195,Transmission,Clutch Failure,Difficulty shifting,1422.79,4,1476
2021-05-12,BK9057HC,558195,Axle,Spring Breakage,Unusual noises,405.69,2,1476
2021-05-12,BK9057HC,558195,Suspension,Ball Joint Failure,Clunking noise,277.75,4,1476
2021-05-13,BK2218ET,408844,Electrical,Battery Failure,Engine won’t start,197.07,2,1334
2021-05-13,BK2218ET,408844,Transmission,Gearbox Failure,Grinding noise,3037.56,19,1334
2021-05-13,BK4570CK,858724,Axle,Axle Failure,Vehicle stops,2683.51,19,1026
2021-05-13,BK4570CK,858724,Engine,Oil Leak,Oil spots,527.79,7,1026
2021-05-14,BK2218ET,409581,Engine,Engine Failure,Engine knocking,4546.14,20,1031
2021-05-14,BK2218ET,409581,Axle,Differential Failure,Grinding noise,1930.28,10,1031
2021-05-14,BK2218ET,409581,Electrical,Battery Failure,Engine won’t start,291.95,1,1031
2021-05-14,BK2218ET,409581,Electrical,Alternator Failure,Battery warning light,428.3,3,1031
2021-05-14,BK4570CK,859451,Axle,Axle Failure,Vehicle stops,2943.82,17,1241
2021-05-14,BK4570CK,859451,Engine,Oil Leak,Oil spots,647.6,7,1241
2021-05-14,BK9057HC,559685,Electrical,Starter Motor Failure,Clicking noise,245.31,2,1295
2021-05-14,BK4570CK,859451,Transmission,Clutch Failure,Difficulty shifting,2256.93,2,1241
2021-05-14,BK4570CK,859451,Electrical,Alternator Failure,Battery warning light,435.76,1,1241
2021-05-14,BK4570CK,859451,Brakes,Brake Pad Wear,Squeaking noise,249.95,2,1241
2021-05-15,BK2218ET,410318,Engine,Turbo Failure,Whistling noise,1559.66,9,972
2021-05-15,BK4570CK,860178,Brakes,Brake Fluid Leak,Soft brake pedal,313.86,4,729
2021-05-15,BK4570CK,860178,Brakes,Brake Pad Wear,Squeaking noise,243.08,1,729
2021-05-15,BK4570CK,860178,Transmission,Transmission Failure,Slipping gears,3408.05,19,729
2021-05-15,BK4570CK,860178,Engine,Turbo Failure,Whistling noise,2497.05,8,729
2021-05-15,BK9057HC,560430,Suspension,Ball Joint Failure,Clunking noise,402.15,3,1169
2021-05-15,BK9057HC,560430,Brakes,Brake Pad Wear,Squeaking noise,287.85,2,1169
2021-05-15,BK2218ET,410318,Axle,Differential Failure,Grinding noise,1513.03,12,972
2021-05-16,BK4570CK,860905,Brakes,Brake Pad Wear,Squeaking noise,202.43,1,1307
2021-05-16,BK2218ET,411055,Axle,Differential Failure,Grinding noise,1552.41,12,560
2021-05-16,BK9057HC,561175,Electrical,Battery Failure,Engine won’t start,251.9,2,1042
2021-05-16,BK9057HC,561175,Brakes,Brake Pad Wear,Squeaking noise,170.66,1,1042
2021-05-16,BK9057HC,561175,Axle,Differential Failure,Grinding noise,1351.83,8,1042
2021-05-17,BK2218ET,411792,Transmission,Transmission Failure,Slipping gears,5044.16,25,949
2021-05-17,BK4570CK,861632,Axle,Axle Failure,Vehicle stops,2273.8,21,686
2021-05-17,BK4570CK,861632,Axle,Spring Breakage,Unusual noises,739.78,3,686
2021-05-17,BK2218ET,411792,Brakes,Brake Pad Wear,Squeaking noise,281.46,2,949
2021-05-17,BK2218ET,411792,Brakes,Brake Fluid Leak,Soft brake pedal,318.5,2,949
2021-05-17,BK2218ET,411792,Suspension,Shock Absorber Failure,Bumpy ride,842.34,5,949
2021-05-17,BK9057HC,561920,Axle,Spring Breakage,Unusual noises,476.4,5,1422
2021-05-17,BK9057HC,561920,Engine,Engine Failure,Engine knocking,2130.58,16,1422
2021-05-17,BK9057HC,561920,Engine,Turbo Failure,Whistling noise,2378.36,13,1422
2021-05-17,BK9057HC,561920,Axle,Axle Failure,Vehicle stops,1541.46,18,1422
2021-05-17,BK9057HC,561920,Axle,Differential Failure,Grinding noise,1217.2,9,1422
2021-05-17,BK9057HC,561920,Brakes,Brake Pad Wear,Squeaking noise,278.07,1,1422
2021-05-17,BK9057HC,561920,Electrical,Battery Failure,Engine won’t start,192.01,1,1422
2021-05-18,BK4570CK,862359,Engine,Radiator Failure,Overheating,879.54,8,1471
2021-05-18,BK4570CK,862359,Engine,Turbo Failure,Whistling noise,1970.36,11,1471
2021-05-18,BK4570CK,862359,Engine,Engine Failure,Engine knocking,2298.57,28,1471
2021-05-18,BK9057HC,562665,Engine,Radiator Failure,Overheating,1760.75,7,1279
2021-05-18,BK2218ET,412529,Engine,Oil Leak,Oil spots,768.32,4,563
2021-05-18,BK4570CK,862359,Brakes,Brake Fluid Leak,Soft brake pedal,337.65,3,1471
2021-05-18,BK2218ET,412529,Brakes,Brake Pad Wear,Squeaking noise,174.74,1,563
2021-05-18,BK2218ET,412529,Transmission,Clutch Failure,Difficulty shifting,2032.04,5,563
2021-05-18,BK2218ET,412529,Engine,Radiator Failure,Overheating,1626.84,10,563
2021-05-18,BK9057HC,562665,Engine,Oil Leak,Oil spots,696.61,3,1279
2021-05-18,BK4570CK,862359,Electrical,Starter Motor Failure,Clicking noise,224.29,1,1471
2021-05-18,BK9057HC,562665,Axle,Spring Breakage,Unusual noises,532.77,4,1279
2021-05-19,BK2218ET,413266,Engine,Oil Leak,Oil spots,765.81,3,547
2021-05-19,BK4570CK,863086,Axle,Axle Failure,Vehicle stops,2840.96,14,1180
2021-05-19,BK2218ET,413266,Electrical,Alternator Failure,Battery warning light,455.73,2,547
2021-05-19,BK2218ET,413266,Engine,Turbo Failure,Whistling noise,2927.64,9,547
2021-05-19,BK9057HC,563410,Axle,Axle Failure,Vehicle stops,2249.75,16,1291
2021-05-19,BK9057HC,563410,Suspension,Ball Joint Failure,Clunking noise,280.28,4,1291
2021-05-19,BK9057HC,563410,Engine,Oil Leak,Oil spots,936.65,5,1291
2021-05-19,BK4570CK,863086,Electrical,Battery Failure,Engine won’t start,288.03,2,1180
2021-05-19,BK4570CK,863086,Electrical,Alternator Failure,Battery warning light,425.07,1,1180
2021-05-20,BK9057HC,564155,Transmission,Gearbox Failure,Grinding noise,3630.11,10,1178
2021-05-20,BK2218ET,414003,Engine,Oil Leak,Oil spots,874.65,4,1381
2021-05-20,BK4570CK,863813,Engine,Turbo Failure,Whistling noise,2688.7,7,770
2021-05-20,BK9057HC,564155,Brakes,Brake Fluid Leak,Soft brake pedal,422.67,2,1178
2021-05-20,BK4570CK,863813,Electrical,Alternator Failure,Battery warning light,427.93,2,770
2021-05-20,BK4570CK,863813,Electrical,Starter Motor Failure,Clicking noise,369.84,1,770
2021-05-20,BK4570CK,863813,Brakes,Brake Pad Wear,Squeaking noise,299.35,1,770
2021-05-20,BK2218ET,414003,Axle,Spring Breakage,Unusual noises,638.79,5,1381
2021-05-20,BK4570CK,863813,Transmission,Transmission Failure,Slipping gears,5347.68,22,770
2021-05-20,BK9057HC,564155,Electrical,Battery Failure,Engine won’t start,242.25,1,1178
2021-05-20,BK9057HC,564155,Engine,Oil Leak,Oil spots,1245.28,6,1178
2021-05-20,BK4570CK,863813,Electrical,Battery Failure,Engine won’t start,115.23,1,770
2021-05-20,BK2218ET,414003,Engine,Radiator Failure,Overheating,1963.59,6,1381
2021-05-21,BK4570CK,864540,Axle,Differential Failure,Grinding noise,1863.73,13,889
2021-05-21,BK4570CK,864540,Brakes,Brake Fluid Leak,Soft brake pedal,223.14,5,889
2021-05-21,BK2218ET,414740,Transmission,Clutch Failure,Difficulty shifting,1330.76,3,1333
2021-05-21,BK2218ET,414740,Axle,Spring Breakage,Unusual noises,429.48,4,1333
2021-05-21,BK9057HC,564900,Engine,Engine Failure,Engine knocking,2512.94,19,730
2021-05-21,BK9057HC,564900,Engine,Oil Leak,Oil spots,1496.29,7,730
2021-05-22,BK2218ET,415477,Transmission,Transmission Failure,Slipping gears,5599.38,18,1326
2021-05-22,BK2218ET,415477,Brakes,Brake Fluid Leak,Soft brake pedal,231.12,2,1326
2021-05-22,BK4570CK,865267,Electrical,Starter Motor Failure,Clicking noise,399.68,2,597
2021-05-22,BK4570CK,865267,Electrical,Battery Failure,Engine won’t start,163.37,1,597
2021-05-22,BK4570CK,865267,Transmission,Gearbox Failure,Grinding noise,2219.37,10,597
2021-05-22,BK2218ET,415477,Electrical,Battery Failure,Engine won’t start,278.8,1,1326
2021-05-22,BK2218ET,415477,Suspension,Shock Absorber Failure,Bumpy ride,712.79,5,1326
2021-05-22,BK2218ET,415477,Suspension,Ball Joint Failure,Clunking noise,233.59,4,1326
2021-05-22,BK9057HC,565645,Engine,Radiator Failure,Overheating,1588.13,5,689
2021-05-22,BK9057HC,565645,Engine,Engine Failure,Engine knocking,2258.03,23,689
2021-05-23,BK2218ET,416214,Engine,Engine Failure,Engine knocking,2597.16,18,1041
2021-05-23,BK2218ET,416214,Transmission,Transmission Failure,Slipping gears,2639.68,27,1041
2021-05-23,BK2218ET,416214,Suspension,Shock Absorber Failure,Bumpy ride,472.74,9,1041
2021-05-23,BK9057HC,566390,Electrical,Alternator Failure,Battery warning light,321.71,2,563
2021-05-23,BK9057HC,566390,Electrical,Starter Motor Failure,Clicking noise,202.85,2,563
2021-05-23,BK4570CK,865994,Suspension,Ball Joint Failure,Clunking noise,345.49,3,885
2021-05-23,BK4570CK,865994,Engine,Turbo Failure,Whistling noise,1789.1,12,885
2021-05-23,BK4570CK,865994,Engine,Engine Failure,Engine knocking,4849.12,22,885
2021-05-23,BK4570CK,865994,Brakes,Brake Fluid Leak,Soft brake pedal,473.94,5,885
2021-05-24,BK9057HC,567135,Axle,Axle Failure,Vehicle stops,1550.47,15,641
2021-05-24,BK9057HC,567135,Transmission,Gearbox Failure,Grinding noise,3033.76,11,641
2021-05-24,BK2218ET,416951,Brakes,Brake Fluid Leak,Soft brake pedal,484.22,3,1464
2021-05-24,BK9057HC,567135,Brakes,Brake Pad Wear,Squeaking noise,230.14,1,641
2021-05-24,BK4570CK,866721,Engine,Turbo Failure,Whistling noise,2056.46,10,682
2021-05-24,BK4570CK,866721,Axle,Differential Failure,Grinding noise,1963.0,14,682
2021-05-24,BK4570CK,866721,Electrical,Battery Failure,Engine won’t start,199.7,1,682
2021-05-24,BK9057HC,567135,Brakes,Brake Line Failure,Brake warning light,619.78,1,641
2021-05-24,BK9057HC,567135,Suspension,Shock Absorber Failure,Bumpy ride,931.18,5,641
2021-05-24,BK2218ET,416951,Brakes,Brake Pad Wear,Squeaking noise,286.83,2,1464
2021-05-25,BK4570CK,867448,Engine,Engine Failure,Engine knocking,4806.7,20,929
2021-05-25,BK9057HC,567880,Engine,Radiator Failure,Overheating,1790.27,6,618
2021-05-25,BK2218ET,417688,Suspension,Ball Joint Failure,Clunking noise,556.7,4,1396
2021-05-25,BK2218ET,417688,Axle,Axle Failure,Vehicle stops,1650.18,14,1396
2021-05-26,BK9057HC,568625,Brakes,Brake Line Failure,Brake warning light,427.41,1,837
2021-05-26,BK4570CK,868175,Brakes,Brake Pad Wear,Squeaking noise,252.99,2,1051
2021-05-26,BK2218ET,418425,Electrical,Battery Failure,Engine won’t start,250.21,2,1133
2021-05-26,BK2218ET,418425,Brakes,Brake Fluid Leak,Soft brake pedal,369.84,4,1133
2021-05-26,BK2218ET,418425,Axle,Differential Failure,Grinding noise,1741.58,14,1133
2021-05-26,BK2218ET,418425,Engine,Oil Leak,Oil spots,1460.35,6,1133
2021-05-26,BK9057HC,568625,Suspension,Ball Joint Failure,Clunking noise,211.14,2,837
2021-05-27,BK9057HC,569370,Engine,Engine Failure,Engine knocking,4965.03,26,1029
2021-05-27,BK9057HC,569370,Electrical,Starter Motor Failure,Clicking noise,254.19,1,1029
2021-05-27,BK4570CK,868902,Electrical,Battery Failure,Engine won’t start,266.89,1,1357
2021-05-27,BK2218ET,419162,Brakes,Brake Pad Wear,Squeaking noise,258.08,2,960
2021-05-28,BK2218ET,419899,Brakes,Brake Pad Wear,Squeaking noise,244.92,1,1493
2021-05-28,BK2218ET,419899,Engine,Turbo Failure,Whistling noise,2108.48,8,1493
2021-05-28,BK2218ET,419899,Engine,Oil Leak,Oil spots,932.86,5,1493
2021-05-28,BK9057HC,570115,Brakes,Brake Line Failure,Brake warning light,660.65,2,882
2021-05-28,BK2218ET,419899,Electrical,Alternator Failure,Battery warning light,325.64,3,1493
2021-05-28,BK9057HC,570115,Engine,Oil Leak,Oil spots,515.91,5,882
2021-05-28,BK4570CK,869629,Suspension,Shock Absorber Failure,Bumpy ride,890.12,9,1243
2021-05-28,BK9057HC,570115,Engine,Turbo Failure,Whistling noise,1522.92,11,882
2021-05-28,BK4570CK,869629,Brakes,Brake Pad Wear,Squeaking noise,157.57,2,1243
2021-05-28,BK4570CK,869629,Electrical,Starter Motor Failure,Clicking noise,171.39,2,1243
2021-05-28,BK4570CK,869629,Transmission,Clutch Failure,Difficulty shifting,1001.51,3,1243
2021-05-29,BK4570CK,870356,Brakes,Brake Pad Wear,Squeaking noise,256.03,2,748
2021-05-30,BK4570CK,871083,Transmission,Transmission Failure,Slipping gears,5016.61,22,1248
2021-05-30,BK4570CK,871083,Axle,Differential Failure,Grinding noise,1405.3,13,1248
2021-05-30,BK2218ET,421373,Engine,Oil Leak,Oil spots,1046.78,6,919
2021-05-30,BK2218ET,421373,Electrical,Battery Failure,Engine won’t start,273.08,1,919
2021-05-30,BK2218ET,421373,Brakes,Brake Pad Wear,Squeaking noise,256.26,2,919
2021-05-30,BK2218ET,421373,Transmission,Transmission Failure,Slipping gears,2960.77,27,919
2021-05-31,BK4570CK,871810,Transmission,Transmission Failure,Slipping gears,2700.18,15,565
2021-05-31,BK2218ET,422110,Axle,Differential Failure,Grinding noise,1325.08,10,1208
2021-05-31,BK2218ET,422110,Suspension,Shock Absorber Failure,Bumpy ride,511.69,10,1208
2021-05-31,BK4570CK,871810,Electrical,Starter Motor Failure,Clicking noise,259.76,2,565
2021-05-31,BK9057HC,572350,Brakes,Brake Pad Wear,Squeaking noise,176.75,1,994
2021-05-31,BK4570CK,871810,Electrical,Battery Failure,Engine won’t start,130.37,2,565
2021-05-31,BK4570CK,871810,Brakes,Brake Fluid Leak,Soft brake pedal,281.95,4,565
2021-05-31,BK4570CK,871810,Axle,Differential Failure,Grinding noise,1944.97,8,565
2021-05-31,BK4570CK,871810,Transmission,Clutch Failure,Difficulty shifting,921.77,2,565
2021-06-01,BK4570CK,872537,Brakes,Brake Pad Wear,Squeaking noise,187.12,2,1126
2021-06-01,BK4570CK,872537,Engine,Engine Failure,Engine knocking,2985.96,21,1126
2021-06-01,BK4570CK,872537,Axle,Differential Failure,Grinding noise,1839.72,8,1126
2021-06-01,BK2218ET,422847,Engine,Turbo Failure,Whistling noise,2970.02,10,1027
2021-06-01,BK9057HC,573095,Engine,Radiator Failure,Overheating,1776.03,8,773
2021-06-01,BK2218ET,422847,Brakes,Brake Fluid Leak,Soft brake pedal,200.23,3,1027
2021-06-01,BK2218ET,422847,Axle,Differential Failure,Grinding noise,1953.85,12,1027
2021-06-01,BK9057HC,573095,Axle,Spring Breakage,Unusual noises,785.27,5,773
2021-06-02,BK9057HC,573840,Suspension,Ball Joint Failure,Clunking noise,436.75,3,1274
2021-06-02,BK9057HC,573840,Electrical,Starter Motor Failure,Clicking noise,315.17,2,1274
2021-06-02,BK9057HC,573840,Electrical,Battery Failure,Engine won’t start,166.52,1,1274
2021-06-02,BK4570CK,873264,Engine,Turbo Failure,Whistling noise,1717.43,11,1266
2021-06-02,BK4570CK,873264,Brakes,Brake Pad Wear,Squeaking noise,268.06,2,1266
2021-06-02,BK2218ET,423584,Transmission,Clutch Failure,Difficulty shifting,2318.6,5,1376
2021-06-02,BK4570CK,873264,Electrical,Battery Failure,Engine won’t start,296.21,2,1266
2021-06-03,BK2218ET,424321,Transmission,Gearbox Failure,Grinding noise,2529.91,20,1406
2021-06-03,BK4570CK,873991,Suspension,Shock Absorber Failure,Bumpy ride,693.54,6,1126
2021-06-03,BK9057HC,574585,Electrical,Battery Failure,Engine won’t start,162.69,2,866
2021-06-03,BK2218ET,424321,Electrical,Starter Motor Failure,Clicking noise,302.25,2,1406
2021-06-03,BK9057HC,574585,Brakes,Brake Pad Wear,Squeaking noise,202.34,1,866
2021-06-03,BK9057HC,574585,Suspension,Ball Joint Failure,Clunking noise,498.74,2,866
2021-06-04,BK2218ET,425058,Brakes,Brake Pad Wear,Squeaking noise,172.31,1,911
2021-06-04,BK2218ET,425058,Brakes,Brake Fluid Leak,Soft brake pedal,372.65,5,911
2021-06-04,BK2218ET,425058,Suspension,Ball Joint Failure,Clunking noise,394.64,4,911
2021-06-04,BK9057HC,575330,Engine,Radiator Failure,Overheating,1738.35,8,1366
2021-06-04,BK4570CK,874718,Transmission,Clutch Failure,Difficulty shifting,1963.97,5,661
2021-06-04,BK4570CK,874718,Transmission,Transmission Failure,Slipping gears,5235.37,24,661
2021-06-04,BK4570CK,874718,Engine,Turbo Failure,Whistling noise,1623.22,7,661
2021-06-04,BK9057HC,575330,Axle,Differential Failure,Grinding noise,1930.19,7,1366
2021-06-04,BK2218ET,425058,Axle,Differential Failure,Grinding noise,1776.74,12,911
2021-06-04,BK9057HC,575330,Electrical,Battery Failure,Engine won’t start,231.24,1,1366
2021-06-05,BK2218ET,425795,Electrical,Alternator Failure,Battery warning light,342.93,2,516
2021-06-05,BK2218ET,425795,Axle,Axle Failure,Vehicle stops,2278.79,18,516
2021-06-05,BK2218ET,425795,Transmission,Clutch Failure,Difficulty shifting,954.85,3,516
2021-06-05,BK2218ET,425795,Brakes,Brake Line Failure,Brake warning light,596.51,2,516
2021-06-05,BK4570CK,875445,Engine,Turbo Failure,Whistling noise,2921.21,13,854
2021-06-05,BK9057HC,576075,Brakes,Brake Line Failure,Brake warning light,605.74,2,1112
2021-06-05,BK4570CK,875445,Transmission,Gearbox Failure,Grinding noise,3469.02,18,854
2021-06-05,BK4570CK,875445,Electrical,Alternator Failure,Battery warning light,284.11,3,854
2021-06-06,BK2218ET,426532,Electrical,Battery Failure,Engine won’t start,122.11,1,783
2021-06-06,BK9057HC,576820,Electrical,Battery Failure,Engine won’t start,274.16,2,1185
2021-06-06,BK9057HC,576820,Suspension,Ball Joint Failure,Clunking noise,445.78,4,1185
2021-06-06,BK9057HC,576820,Engine,Radiator Failure,Overheating,1054.55,6,1185
2021-06-06,BK9057HC,576820,Brakes,Brake Fluid Leak,Soft brake pedal,411.7,4,1185
2021-06-06,BK2218ET,426532,Brakes,Brake Pad Wear,Squeaking noise,160.75,1,783
2021-06-06,BK2218ET,426532,Engine,Turbo Failure,Whistling noise,2168.27,9,783
2021-06-06,BK9057HC,576820,Axle,Differential Failure,Grinding noise,1359.74,12,1185
2021-06-06,BK4570CK,876172,Suspension,Shock Absorber Failure,Bumpy ride,580.14,7,813
2021-06-06,BK4570CK,876172,Brakes,Brake Fluid Leak,Soft brake pedal,371.16,4,813
2021-06-07,BK4570CK,876899,Axle,Differential Failure,Grinding noise,1753.29,12,572
2021-06-07,BK2218ET,427269,Transmission,Transmission Failure,Slipping gears,3947.07,21,1016
2021-06-07,BK4570CK,876899,Brakes,Brake Pad Wear,Squeaking noise,171.23,2,572
2021-06-07,BK9057HC,577565,Brakes,Brake Pad Wear,Squeaking noise,207.61,1,1457
2021-06-07,BK9057HC,577565,Axle,Differential Failure,Grinding noise,1239.98,8,1457
2021-06-07,BK2218ET,427269,Electrical,Battery Failure,Engine won’t start,120.23,1,1016
2021-06-08,BK2218ET,428006,Electrical,Battery Failure,Engine won’t start,268.74,1,1380
2021-06-08,BK2218ET,428006,Brakes,Brake Line Failure,Brake warning light,444.52,2,1380
2021-06-08,BK4570CK,877626,Engine,Engine Failure,Engine knocking,3551.23,14,746
2021-06-08,BK4570CK,877626,Brakes,Brake Fluid Leak,Soft brake pedal,207.44,4,746
2021-06-08,BK4570CK,877626,Electrical,Battery Failure,Engine won’t start,197.26,1,746
2021-06-08,BK2218ET,428006,Axle,Axle Failure,Vehicle stops,2379.57,15,1380
2021-06-08,BK9057HC,578310,Axle,Axle Failure,Vehicle stops,1894.9,16,1365
2021-06-08,BK9057HC,578310,Transmission,Clutch Failure,Difficulty shifting,1725.67,5,1365
2021-06-08,BK9057HC,578310,Brakes,Brake Pad Wear,Squeaking noise,241.46,2,1365
2021-06-08,BK9057HC,578310,Engine,Engine Failure,Engine knocking,2679.14,14,1365
2021-06-09,BK2218ET,428743,Engine,Turbo Failure,Whistling noise,1554.58,7,936
2021-06-09,BK2218ET,428743,Engine,Oil Leak,Oil spots,888.75,5,936
